Match Date,Team..1,Team..2,Winner,Margin,Ground
24-Jun-22,Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS)
10-Jul-22,Ireland,New Zealand,New Zealand,1 wicket,Dublin (Malahide)
10-Jul-22,Scotland,Namibia,Scotland,77 runs,Glasgow
10-Jul-22,West Indies,Bangladesh,Bangladesh,6 wickets,Providence
11-Jul-22,Namibia,Nepal,Namibia,40 runs,Ayr
12-Jul-22,Ireland,New Zealand,New Zealand,3 wickets,Dublin (Malahide)
12-Jul-22,England,India,India,10 wickets,The Oval
13-Jul-22,Scotland,Nepal,Nepal,5 wickets,Glasgow
13-Jul-22,West Indies,Bangladesh,Bangladesh,9 wickets,Providence
14-Jul-22,Scotland,Namibia,Scotland,3 wickets,Glasgow
14-Jul-22,England,India,England,100 runs,Lord's
15-Jul-22,Ireland,New Zealand,New Zealand,1 run,Dublin (Malahide)
16-Jul-22,Namibia,Nepal,Namibia,63 runs,Ayr
16-Jul-22,West Indies,Bangladesh,Bangladesh,4 wickets,Providence
17-Jul-22,Scotland,Nepal,Scotland,8 wickets,Glasgow
17-Jul-22,England,India,India,5 wickets,Manchester
19-Jul-22,England,South Africa,South Africa,62 runs,Chester-le-Street
22-Jul-22,England,South Africa,England,118 runs,Manchester
22-Jul-22,West Indies,India,India,3 runs,Port of Spain
24-Jul-22,England,South Africa,no result,-,Leeds
24-Jul-22,West Indies,India,India,2 wickets,Port of Spain
27-Jul-22,West Indies,India,India,119 runs,Port of Spain
31-Jul-22,Scotland,New Zealand,New Zealand,7 wickets,Edinburgh
05-Aug-22,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare
07-Aug-22,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare
10-Aug-22,Zimbabwe,Bangladesh,Bangladesh,105 runs,Harare
10-Aug-22,Scotland,U.A.E.,Scotland,64 runs,Aberdeen
11-Aug-22,U.A.E.,U.S.A.,U.S.A.,1 wicket,Aberdeen
13-Aug-22,Scotland,U.S.A.,Scotland,5 wickets,Aberdeen
14-Aug-22,Scotland,U.A.E.,Scotland,86 runs,Aberdeen
16-Aug-22,Netherlands,Pakistan,Pakistan,16 runs,Rotterdam
17-Aug-22,Scotland,U.S.A.,U.S.A.,2 wickets,Aberdeen
17-Aug-22,West Indies,New Zealand,West Indies,5 wickets,Bridgetown
18-Aug-22,Zimbabwe,India,India,10 wickets,Harare
18-Aug-22,Netherlands,Pakistan,Pakistan,7 wickets,Rotterdam
19-Aug-22,West Indies,New Zealand,New Zealand,50 runs,Bridgetown
20-Aug-22,Zimbabwe,India,India,5 wickets,Harare
21-Aug-22,Netherlands,Pakistan,Pakistan,9 runs,Rotterdam
21-Aug-22,West Indies,New Zealand,New Zealand,5 wickets,Bridgetown
22-Aug-22,Zimbabwe,India,India,13 runs,Harare
28-Aug-22,Australia,Zimbabwe,Australia,5 wickets,Townsville
31-Aug-22,Australia,Zimbabwe,Australia,8 wickets,Townsville
03-Sep-22,Australia,Zimbabwe,Zimbabwe,3 wickets,Townsville
06-Sep-22,Australia,New Zealand,Australia,2 wickets,Cairns
08-Sep-22,Australia,New Zealand,Australia,113 runs,Cairns
11-Sep-22,P.N.G.,U.S.A.,tied,-,Port Moresby
11-Sep-22,Australia,New Zealand,Australia,25 runs,Cairns
13-Sep-22,P.N.G.,U.S.A.,P.N.G.,26 runs,Port Moresby
15-Sep-22,Namibia,U.S.A.,Namibia,79 runs,Port Moresby
17-Sep-22,Namibia,U.S.A.,Namibia,68 runs,Port Moresby
20-Sep-22,P.N.G.,Namibia,Namibia,167 runs,Port Moresby
21-Sep-22,P.N.G.,Namibia,Namibia,61 runs,Port Moresby
06-Oct-22,India,South Africa,South Africa,9 runs,Lucknow
09-Oct-22,India,South Africa,India,7 wickets,Ranchi
11-Oct-22,India,South Africa,India,7 wickets,Delhi
14-Nov-22,Nepal,U.A.E.,U.A.E.,84 runs,Kirtipur
16-Nov-22,Nepal,U.A.E.,Nepal,3 wickets,Kirtipur
